id,Title,Subject,download_link,sample_paper_id,Class,Exam_Type,language,Subscription_Type,board_type,year
MPBSE_24,Hindi 2025,Hindi,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP%20Board/HINDI/mp-board-class-12-hindi%202025%20(1).pdf,MPBSE_24,Class 12th,Board,Hindi,Basic,MPBSE,2025
MPBSE_25,Mathematics 2017,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/maths/mp-board-class-12-higher-mathematics-2017+.pdf,MPBSE_25,Class 12th,Board,Hindi,Basic,MPBSE,2017
MPBSE_26,Mathematics 2019,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/maths/12th+MATHS+2019+QUESTION+PAPER.pdf,MPBSE_26,Class 12th,Board,Hindi,Basic,MPBSE,2019
MPBSE_27,Mathematics 2022,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Maths+2022+Set+A+E-219.pdf,MPBSE_27,Class 12th,Board,Hindi,Basic,MPBSE,2022
MPBSE_28,Mathematics 2023,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Maths+2023+Set+A.pdf,MPBSE_28,Class 12th,Board,Hindi,Basic,MPBSE,2023
MPBSE_29,Mathematics 2024,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Class+12th+Maths+2024+Set+A.pdf,MPBSE_29,Class 12th,Board,Hindi,Basic,MPBSE,2024
MPBSE_30,Mathematics 2025,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/MP_BOARD_Maths_2025.pdf,MPBSE_30,Class 12th,Board,Hindi,Basic,MPBSE,2025
MPBSE_31,Physics 2015,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/physics/mp-board-class-12-h-physics-2015.pdf,MPBSE_31,Class 12th,Board,Hindi,Basic,MPBSE,2015
MPBSE_32,Physics 2016,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/physics/mp-board-class-12-physics-e-443-2016+(1).pdf,MPBSE_32,Class 12th,Board,Hindi,Basic,MPBSE,2016
MPBSE_33,Physics 2020,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/physics/mp-board-class-12-physics-2020+.pdf,MPBSE_33,Class 12th,Board,Hindi,Basic,MPBSE,2020
